numero;descricao;data_entrada;data_saida;prazo;status;situacao;tipo
11657 111111/1111;teste;2016-02-03;2016-02-03;00/00/0000;SUP-SUPAD;Em andamento;Balancete;Sem texto
11658 111111/1111;teste;2016-02-04;2016-02-04;00/00/0000;SUP-SUPAD;Em andamento;Balancete;Sem texto
11659 111111/1111;teste;2016-02-05;2016-02-05;00/00/0000;SUP-SUPAD;Em atraso;Balancete;Sem texto
11660 111111/1111;teste;2016-02-06;2016-02-06;00/00/0000;SUP-SUPAD;Em atraso;Balancete;Sem texto
11661 111111/1111;teste;2016-02-07;2016-02-07;00/00/0000;SUP-SUPAD;Em atraso;Balancete;Sem texto
11662 111111/1111;teste;2016-02-08;2016-02-08;00/00/0000;SUP-SUPAD;Em atraso;Balancete;Sem texto
11663 111111/1111;teste;2016-02-09;2016-02-09;00/00/0000;SUP-SUPAD;Em atraso;Balancete;Sem texto
11677 111111/1111;teste;2016-02-10;2016-02-10;00/00/0000;SUP-SUCOR;Em atraso;Balancete;Sem texto
11678 111111/1111;teste;2016-02-11;2016-02-11;00/00/0000;SUP-SUCOR;Em andamento;Balancete;Sem texto
11679 111111/1111;teste;2016-02-12;2016-02-12;00/00/0000;SUP-SUCOR;Em andamento;Balancete;Sem texto
11680 111111/1111;teste;2016-02-13;2016-02-13;00/00/0000;SUP-SUCOR;Em andamento;Balancete;Sem texto
11681 111111/1111;teste;2016-02-14;2016-02-14;00/00/0000;SUP-SUCOR;Em andamento;Balancete;Sem texto
11703 111111/1111;teste;2016-02-15;2016-02-15;00/00/0000;SUPAD;Em andamento;Balancete;Sem texto
11704 111111/1111;teste;2016-02-16;2016-02-16;00/00/0000;SUPAD;Em andamento;Balancete;Sem texto
11705 111111/1111;teste;2016-02-17;2016-02-17;00/00/0000;SUPAD;Em andamento;Balancete;Sem texto
11706 111111/1111;teste;2016-02-18;2016-02-18;00/00/0000;SUPAD;Em andamento;Balancete;Sem texto
11707 111111/1111;teste;2016-02-19;2016-02-25;00/00/0000;SUPAD;Em andamento;Balancete;Sem texto
11708 111111/1111;teste;2016-03-01;2016-02-26;00/00/0000;SUPAD;Em andamento;Balancete;Sem texto
11762 111111/1111;teste;2016-03-02;2016-02-27;00/00/0000;SUCOF;Em andamento;Balancete;Sem texto
11763 111111/1111;teste;2016-03-03;2016-02-28;00/00/0000;SUCOF;Em andamento;Balancete;Sem texto
11764 111111/1111;teste;2016-03-04;2016-03-01;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11960 111111/1111;teste;2016-03-05;2016-03-02;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11961 111111/1111;teste;2016-03-06;2016-03-03;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11962 111111/1111;teste;2016-03-07;2016-03-04;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11963 111111/1111;teste;2016-03-08;2016-03-05;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11964 111111/1111;teste;2016-03-09;2016-03-06;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11965 111111/1111;teste;2016-03-10;2016-03-07;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11966 111111/1111;teste;2016-03-11;2016-03-08;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11967 111111/1111;teste;2016-03-12;2016-03-09;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11968 111111/1111;teste;2016-03-13;2016-03-10;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11969 111111/1111;teste;2016-03-14;2016-03-11;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11970 111111/1111;teste;2016-03-15;2016-03-12;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11971 111111/1111;teste;2016-03-16;2016-03-13;00/00/0000;SUCOR;Em andamento;Balancete;Sem texto
11972 111111/1111;teste;2016-03-17;2016-03-14;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11973 111111/1111;teste;2016-03-18;2016-03-15;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11974 111111/1111;teste;2016-03-19;2016-03-16;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11975 111111/1111;teste;2016-03-20;2016-03-17;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11976 111111/1111;teste;2016-03-21;2016-03-18;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11977 111111/1111;teste;2016-03-22;2016-03-19;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11978 111111/1111;teste;2016-03-23;2016-03-20;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11979 111111/1111;teste;2016-03-24;2016-03-21;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11980 111111/1111;teste;2016-03-25;2016-03-22;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11981 111111/1111;teste;2016-03-26;2016-03-23;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11982 111111/1111;teste;2016-03-27;2016-03-24;00/00/0000;Arquivado;Concluído;Balancete;Sem texto
11983 111111/1111;teste;2016-03-28;2016-03-25;00/00/0000;Saiu;Concluído;Balancete;Sem texto
11984 111111/1111;teste;2016-03-29;2016-03-26;00/00/0000;Saiu;Concluído;Balancete;Sem texto
11985 111111/1111;teste;2016-03-30;2016-03-27;00/00/0000;Saiu;Concluído;Balancete;Sem texto
11986 111111/1111;teste;2016-04-01;2016-04-09;00/00/0000;Saiu;Concluído;Balancete;Sem texto
11987 111111/1111;teste;2016-04-02;2016-04-10;00/00/0000;Saiu;Concluído;Balancete;Sem texto
11988 111111/1111;teste;2016-04-03;2016-04-11;00/00/0000;Saiu;Concluído;Balancete;Sem texto
11989 111111/1111;teste;2016-04-04;2016-04-12;00/00/0000;Saiu;Concluído;Balancete;Sem texto
11990 111111/1111;teste;2016-04-05;2016-04-13;00/00/0000;Saiu;Concluído;Balancete;Sem texto
11991 111111/1111;teste;2016-04-06;2016-04-14;00/00/0000;Saiu;Concluído;Balancete;Sem texto
11992 111111/1111;teste;2016-04-07;2016-04-15;00/00/0000;Saiu;Concluído;Balancete;Sem texto
11993 111111/1111;teste;2016-04-08;2016-04-16;00/00/0000;Saiu;Concluído;LAI;Sem texto
11994 111111/1111;teste;2016-04-09;2016-04-17;00/00/0000;Saiu;Concluído;LAI;Sem texto
11995 111111/1111;teste;2016-04-10;2016-04-18;00/00/0000;Saiu;Concluído;LAI;Sem texto
11996 111111/1111;teste;2016-04-11;2016-04-19;00/00/0000;Saiu;Concluído;LAI;Sem texto
11997 111111/1111;teste;2016-04-12;2016-04-20;00/00/0000;Saiu;Concluído;LAI;Sem texto
11998 111111/1111;teste;2016-04-13;2016-04-21;00/00/0000;Saiu;Concluído;LAI;Sem texto
11999 111111/1111;teste;2016-04-14;2016-04-22;00/00/0000;Saiu;Concluído;LAI;Sem texto
12000 111111/1111;teste;2016-04-15;2016-04-23;00/00/0000;Saiu;Concluído;LAI;Sem texto
12001 111111/1111;teste;2016-04-16;2016-04-24;00/00/0000;Saiu;Concluído;LAI;Sem texto
12002 111111/1111;teste;2016-04-17;2016-04-25;00/00/0000;Saiu;Concluído;LAI;Sem texto
12003 111111/1111;teste;2016-04-18;2016-04-26;00/00/0000;Saiu;Concluído;LAI;Sem texto
12004 111111/1111;teste;2016-04-19;2016-04-27;00/00/0000;Saiu;Concluído;LAI;Sem texto
12005 111111/1111;teste;2016-04-20;2016-04-28;00/00/0000;Saiu;Concluído;LAI;Sem texto
12006 111111/1111;teste;2016-05-01;2016-05-10;00/00/0000;Saiu;Concluído;LAI;Sem texto
12007 111111/1111;teste;2016-05-02;2016-05-11;00/00/0000;Saiu;Concluído;LAI;Sem texto
12008 111111/1111;teste;2016-05-03;2016-05-12;00/00/0000;Saiu;Concluído;LAI;Sem texto
12009 111111/1111;teste;2016-05-04;2016-05-13;00/00/0000;Saiu;Concluído;LAI;Sem texto
12010 111111/1111;teste;2016-05-05;2016-05-14;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12011 111111/1111;teste;2016-05-06;2016-05-15;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12012 111111/1111;teste;2016-05-07;2016-05-16;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12013 111111/1111;teste;2016-05-08;2016-05-17;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12014 111111/1111;teste;2016-05-09;2016-05-18;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12015 111111/1111;teste;2016-05-10;2016-05-19;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12016 111111/1111;teste;2016-05-11;2016-05-20;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12017 111111/1111;teste;2016-05-12;2016-05-21;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12018 111111/1111;teste;2016-05-13;2016-05-22;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12019 111111/1111;teste;2016-05-14;2016-05-23;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12020 111111/1111;teste;2016-05-15;2016-05-24;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12021 111111/1111;teste;2016-05-16;2016-05-25;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12022 111111/1111;teste;2016-05-17;2016-05-26;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12023 111111/1111;teste;2016-05-18;2016-05-27;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12024 111111/1111;teste;2016-05-19;2016-05-28;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12025 111111/1111;teste;2016-05-20;2016-05-29;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12026 111111/1111;teste;2016-05-21;2016-05-30;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12027 111111/1111;teste;2016-05-22;2016-06-01;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12028 111111/1111;teste;2016-05-23;2016-06-02;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12029 111111/1111;teste;2016-05-24;2016-06-03;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12030 111111/1111;teste;2016-05-25;2016-06-04;00/00/0000;Saiu;Concluído;Ouvidoria;Sem texto
12031 111111/1111;teste;2016-05-26;2016-06-05;00/00/0000;Saiu;Concluído;Outros;Sem texto
12032 111111/1111;teste;2016-05-27;2016-06-06;00/00/0000;Saiu;Concluído;Outros;Sem texto
12033 111111/1111;teste;2016-05-28;2016-06-07;00/00/0000;Saiu;Concluído;Outros;Sem texto
12034 111111/1111;teste;2016-05-29;2016-06-08;00/00/0000;Saiu;Concluído;Outros;Sem texto
12035 111111/1111;teste;2016-05-30;2016-06-09;00/00/0000;Saiu;Concluído;Outros;Sem texto
12036 111111/1111;teste;2016-06-01;2016-06-10;00/00/0000;Saiu;Concluído;Outros;Sem texto
12037 111111/1111;teste;2016-06-02;2016-06-11;00/00/0000;Saiu;Concluído;Outros;Sem texto
12038 111111/1111;teste;2016-06-03;2016-06-12;00/00/0000;Saiu;Concluído;Outros;Sem texto
12039 111111/1111;teste;2016-06-04;2016-06-13;00/00/0000;Saiu;Concluído;Outros;Sem texto
12040 111111/1111;teste;2016-06-05;2016-06-14;00/00/0000;Saiu;Concluído;Outros;Sem texto
12041 111111/1111;teste;2016-06-06;2016-06-15;00/00/0000;Saiu;Concluído;Outros;Sem texto
12042 111111/1111;teste;2016-06-07;2016-06-16;00/00/0000;Saiu;Concluído;Outros;Sem texto
12043 111111/1111;teste;2016-06-08;2016-06-17;00/00/0000;Saiu;Concluído;Outros;Sem texto
12044 111111/1111;teste;2016-06-09;2016-06-18;00/00/0000;Saiu;Concluído;Outros;Sem texto
12045 111111/1111;teste;2016-06-10;2016-06-19;00/00/0000;Saiu;Concluído;Outros;Sem texto
12046 111111/1111;teste;2016-06-11;2016-06-20;00/00/0000;Saiu;Concluído;Outros;Sem texto
12047 111111/1111;teste;2016-06-12;2016-06-21;00/00/0000;Saiu;Concluído;Outros;Sem texto
12048 111111/1111;teste;2016-06-13;2016-06-22;00/00/0000;Saiu;Concluído;Outros;Sem texto
12049 111111/1111;teste;2016-06-14;2016-06-23;00/00/0000;Saiu;Concluído;Outros;Sem texto
12050 111111/1111;teste;2016-06-15;2016-06-24;00/00/0000;Saiu;Concluído;Outros;Sem texto
12051 111111/1111;teste;2016-06-16;2016-06-25;00/00/0000;Saiu;Concluído;Outros;Sem texto
12052 111111/1111;teste;2016-06-17;2016-06-26;00/00/0000;Saiu;Concluído;Outros;Sem texto
12053 111111/1111;teste;2016-06-18;2016-06-27;00/00/0000;Saiu;Concluído;Outros;Sem texto
12054 111111/1111;teste;2016-06-19;2016-06-28;00/00/0000;Saiu;Concluído;Outros;Sem texto
12055 111111/1111;teste;2016-06-20;2016-06-29;00/00/0000;Saiu;Concluído;Outros;Sem texto
12056 111111/1111;teste;2016-06-21;2016-06-30;00/00/0000;Saiu;Concluído;Outros;Sem texto
