SQ_PESSOA_VINCULANTE,SQ_PESSOA_VINCULADA,CO_CONDICAO,NO_VINCULO,DT_ENTRADA_SOCIEDADE,DT_INICIO_MANDATO,DT_SAIDA_SOCIEDADE,DT_TERMINO_MANDATO,VL_PARTICIPACAO,DS_CARGO_DIRECAO
558430,558431,801,EMPRESÁRIO,2015-01-08,,,,,
558432,558433,801,EMPRESÁRIO,2015-01-08,,,,,
558434,558435,801,EMPRESÁRIO,2015-01-08,,,,,
558436,558437,801,EMPRESÁRIO,2015-01-08,,,,,
558438,558439,801,EMPRESÁRIO,2015-01-08,,,,,
558440,558441,801,EMPRESÁRIO,2015-01-08,,,,,
558442,558443,801,EMPRESÁRIO,2015-01-08,,,,,
558444,558445,801,EMPRESÁRIO,2015-01-08,,,,,
558446,558447,801,EMPRESÁRIO,2015-01-08,,,,,
558448,558449,801,EMPRESÁRIO,2015-01-08,,,,,
558450,558451,801,EMPRESÁRIO,2015-01-08,,,,,
558452,558453,801,EMPRESÁRIO,2015-01-08,,,,,
558454,558455,801,EMPRESÁRIO,2015-01-08,,,,,
558456,558457,801,EMPRESÁRIO,2015-01-08,,,,,
558458,558459,801,EMPRESÁRIO,2015-01-08,,,,,
558460,558461,801,EMPRESÁRIO,2015-01-08,,,,,
558462,558463,801,EMPRESÁRIO,2015-01-08,,,,,
558464,558465,801,EMPRESÁRIO,2015-01-08,,,,,
558466,558467,801,EMPRESÁRIO,2015-01-08,,,,,
558468,558469,801,EMPRESÁRIO,2015-01-08,,,,,
558470,558471,801,EMPRESÁRIO,2015-01-08,,,,,
558472,558473,801,EMPRESÁRIO,2015-01-08,,,,,
558474,558475,801,EMPRESÁRIO,2015-01-08,,,,,
558476,558477,801,EMPRESÁRIO,2016-03-22,2016-03-22,,,0,
558478,558479,801,EMPRESÁRIO,2015-01-08,,,,,
558480,558481,801,EMPRESÁRIO,2015-01-08,,,,,
558482,558483,801,EMPRESÁRIO,2015-01-08,,,,,
558484,558485,801,EMPRESÁRIO,2015-01-08,,,,,
558486,558487,801,EMPRESÁRIO,2015-01-08,,,,,
558488,558489,801,EMPRESÁRIO,2015-01-06,,2016-03-28,2016-03-28,,
558488,103159,801,EMPRESÁRIO,2016-03-28,2016-03-28,,,0,
558490,558491,801,EMPRESÁRIO,2015-01-08,,,,,
558492,558493,801,EMPRESÁRIO,2015-01-08,,,,,
558494,558495,801,EMPRESÁRIO,2015-01-08,,,,,
558496,558497,801,EMPRESÁRIO,2015-01-08,,,,,
558498,558499,801,EMPRESÁRIO,2015-01-08,,,,,
560940,369398,801,EMPRESÁRIO,2015-01-23,,,,0,
577994,577995,101,SOCIO,2015-06-09,2015-06-09,,,,
577994,102476,101,SOCIO,2015-06-09,2015-06-09,,,,
577994,102476,205,ADMINISTRADOR,2015-01-06,2015-01-06,,,,
577994,577996,101,SOCIO,2015-06-09,2015-06-09,,,,
577994,577996,205,ADMINISTRADOR,2015-01-06,2015-01-06,,,,
577994,577997,101,SOCIO,2015-06-09,2015-06-09,,,,
577994,577997,205,ADMINISTRADOR,2015-01-06,2015-01-06,,,,
579915,579916,801,EMPRESÁRIO,2015-06-23,,,,,
579907,579908,801,EMPRESÁRIO,2015-06-23,,,,,
579909,579910,801,EMPRESÁRIO,2015-06-23,,,,,
579911,579912,801,EMPRESÁRIO,2015-06-23,,,,,
579913,579914,801,EMPRESÁRIO,2015-06-23,,,,,
393629,393630,801,EMPRESÁRIO,2010-10-17,,,,0,
470163,450963,801,EMPRESÁRIO,2012-09-27,,,,,
470163,527737,101,SOCIO,2014-03-12,2014-03-12,,,30000,
470163,527737,205,ADMINISTRADOR,2014-03-12,2014-03-12,,,,
470163,527734,902,FILIAL EM OUTRA UF,2014-03-24,,,,,
470163,450963,101,SOCIO,2014-01-24,2014-01-24,2014-03-12,2014-03-12,20000,
470163,450963,205,ADMINISTRADOR,2014-01-24,2014-01-24,2014-03-12,2014-03-12,,
470163,523089,101,SOCIO,2014-01-24,2014-01-24,,,70000,
567589,613862,101,SOCIO,2016-03-15,2016-03-15,,,,
470163,523089,205,ADMINISTRADOR,2014-01-24,2014-01-24,,,10000000,ADMINISTRADOR
566857,596650,101,SOCIO,2015-08-06,2015-08-06,,,,
566857,566858,101,SOCIO,2015-01-07,2015-01-07,2015-08-06,2015-08-06,,
566857,584913,101,SOCIO,2015-03-19,2015-03-19,,,,
566857,584913,205,ADMINISTRADOR,2015-03-19,2015-03-19,,,,
566857,566858,205,ADMINISTRADOR,2014-11-28,2014-11-28,,2015-08-06,,
299032,147237,101,SOCIO,2001-09-10,2001-09-10,2015-01-07,2015-01-07,,
299032,147238,101,SOCIO,2001-09-10,2001-09-10,2005-12-05,2005-12-05,,
299032,299062,101,SOCIO,2001-09-10,2001-09-10,2009-01-31,2009-01-31,,
299032,318090,101,SOCIO,2005-12-05,2005-12-05,2015-06-16,2015-06-16,,
299032,147238,201,SOCIO GERENTE,2001-09-10,2001-09-10,2005-12-05,2005-12-05,,
299032,171863,205,ADMINISTRADOR,2007-05-23,2007-05-23,2015-06-16,2015-06-16,,ADMINISTRADOR
299032,357559,101,SOCIO,2009-04-06,2009-04-06,2015-01-07,2015-01-07,,
299032,547933,101,SOCIO,2009-07-06,2009-07-06,2015-06-16,2015-06-16,,
299032,171863,316,REPRESENTANTE LEGAL,2007-05-23,2007-05-23,2015-06-16,2015-06-16,,ADMINISTRADOR
299032,19106,101,SOCIO,2015-05-29,2015-05-29,,,,
299032,171863,205,ADMINISTRADOR,2015-01-08,2015-01-08,,2015-05-29,,ADMINISTRADOR
299032,10059,101,SOCIO,2015-01-09,2015-01-09,,,,
299032,10059,205,ADMINISTRADOR,2015-01-09,2015-01-09,,,,
557754,557755,801,EMPRESÁRIO,2015-02-16,,,,0,
557220,557221,801,EMPRESÁRIO,2014-12-19,,,,0,
558986,558987,801,EMPRESÁRIO,2015-01-09,,,,,
558988,558989,801,EMPRESÁRIO,2015-01-09,,,,,
558990,558991,801,EMPRESÁRIO,2015-01-09,,,,,
558992,558993,801,EMPRESÁRIO,2015-01-09,,,,,
558994,558995,801,EMPRESÁRIO,2015-01-09,,,,,
558996,558997,801,EMPRESÁRIO,2015-01-09,,,,,
558998,558999,801,EMPRESÁRIO,2015-01-09,,,,,
559000,559001,801,EMPRESÁRIO,2015-01-09,,,,,
559002,559003,801,EMPRESÁRIO,2015-01-09,,,,,
559004,559005,801,EMPRESÁRIO,2015-01-09,,,,,
559006,559007,801,EMPRESÁRIO,2015-01-09,,,,,
559008,559009,801,EMPRESÁRIO,2015-01-09,,,,,
559010,559011,801,EMPRESÁRIO,2015-01-09,,,,,
559012,559013,801,EMPRESÁRIO,2015-01-09,,,,,
559014,559015,801,EMPRESÁRIO,2015-01-09,,,,,
559016,559017,801,EMPRESÁRIO,2015-01-09,,,,,
559018,559019,801,EMPRESÁRIO,2015-01-09,,,,,
559020,559021,801,EMPRESÁRIO,2015-01-09,,,,,
559022,559023,801,EMPRESÁRIO,2015-01-09,,,,,
559024,559025,801,EMPRESÁRIO,2015-01-09,,,,,
559026,559027,801,EMPRESÁRIO,2015-01-09,,,,,
559028,559029,801,EMPRESÁRIO,2015-01-09,,,,,
559030,559031,801,EMPRESÁRIO,2015-01-09,,,,,
559032,559033,801,EMPRESÁRIO,2015-01-09,,,,,
557781,557782,801,EMPRESÁRIO,2015-02-16,,,,0,
557783,88453,101,SOCIO,2015-02-16,,,,,
557783,88453,205,ADMINISTRADOR,2015-02-16,,,,,
557783,350648,101,SOCIO,2015-02-16,,,,,
557783,350648,205,ADMINISTRADOR,2015-02-16,,,,,
557783,150551,101,SOCIO,2015-02-16,,,,,
557783,150551,205,ADMINISTRADOR,2015-02-16,,,,,
557783,557784,101,SOCIO,2015-02-16,,,,,
557783,557784,205,ADMINISTRADOR,2015-02-16,,,,,
558934,558935,801,EMPRESÁRIO,2015-01-09,,,,,
558936,558937,801,EMPRESÁRIO,2015-01-09,,,,,
558938,558939,801,EMPRESÁRIO,2015-03-24,2015-03-24,,,20000,
558940,558941,801,EMPRESÁRIO,2015-01-09,,,,,
558942,558943,801,EMPRESÁRIO,2015-01-09,,,,,
558944,558945,801,EMPRESÁRIO,2015-01-07,,,,,
558946,558947,801,EMPRESÁRIO,2015-01-09,,,,,
558948,558949,801,EMPRESÁRIO,2015-01-09,,,,,
558950,558951,801,EMPRESÁRIO,2015-01-09,,,,,
558952,558953,801,EMPRESÁRIO,2015-01-09,,,,,
558954,558955,801,EMPRESÁRIO,2015-01-09,,,,,
558956,558957,801,EMPRESÁRIO,2015-01-09,,,,,
558958,558959,801,EMPRESÁRIO,2015-01-09,,,,,
557763,557764,801,EMPRESÁRIO,2015-02-16,,,,0,
557765,557766,801,EMPRESÁRIO,2015-02-16,,,,0,
558512,558513,801,EMPRESÁRIO,2015-01-08,,,,,
558514,558515,801,EMPRESÁRIO,2015-01-08,,,,,
557816,146150,205,ADMINISTRADOR,2015-02-16,,,,,
557816,345388,101,SOCIO,2015-06-24,2015-06-24,,,15000,
557816,345388,205,ADMINISTRADOR,2015-06-24,2015-02-16,,,,
557816,146150,101,SOCIO,2015-02-16,2015-02-16,,,285000,
557816,370883,101,SOCIO,2015-02-16,2015-02-16,2016-07-24,2016-07-24,0,
557757,557758,801,EMPRESÁRIO,2015-02-16,,,,0,
557775,557776,101,SOCIO,2015-02-16,,,,,
557775,557776,205,ADMINISTRADOR,2015-02-16,,,,,
557775,557777,205,ADMINISTRADOR,2015-02-16,,,,,
557775,557777,101,SOCIO,2015-02-16,,,,,
557779,557780,801,EMPRESÁRIO,2015-02-16,,,,0,
557803,557804,401,TITULAR PESSOA FÍSICA,2015-02-16,,,,,ADMINISTRADOR
557803,557804,205,ADMINISTRADOR,2015-02-16,,,,,ADMINISTRADOR
557832,557833,801,EMPRESÁRIO,2015-01-07,,,,0,
557832,586767,901,FILIAL NA MESMA UF DA SEDE,2015-07-21,,,,,
558516,558517,801,EMPRESÁRIO,2015-01-08,,,,,
558518,558519,801,EMPRESÁRIO,2015-01-08,,,,,
558520,558521,801,EMPRESÁRIO,2015-01-08,,,,,
558522,558523,801,EMPRESÁRIO,2015-01-08,,,,,
558524,558525,801,EMPRESÁRIO,2015-01-08,,,,,
558526,558527,801,EMPRESÁRIO,2015-01-08,,,,,
558528,558529,801,EMPRESÁRIO,2015-01-08,,,,,
558960,558961,801,EMPRESÁRIO,2015-01-09,,,,,
558962,558963,801,EMPRESÁRIO,2015-01-09,,,,,
558964,558965,801,EMPRESÁRIO,2015-01-09,,,,,
558966,558967,801,EMPRESÁRIO,2015-01-09,,,,,
558968,558969,801,EMPRESÁRIO,2015-01-09,,,,,
558970,558971,801,EMPRESÁRIO,2015-01-09,,,,,
558972,558973,801,EMPRESÁRIO,2015-01-09,,,,,
558974,558975,801,EMPRESÁRIO,2015-01-09,,,,,
558976,558977,801,EMPRESÁRIO,2015-01-09,,,,,
558978,558979,801,EMPRESÁRIO,2015-01-09,,,,,
558980,558981,801,EMPRESÁRIO,2015-01-09,,,,,
558982,558983,801,EMPRESÁRIO,2015-01-09,,,,,
558984,558985,801,EMPRESÁRIO,2015-01-09,,,,,
559898,559899,801,EMPRESÁRIO,2015-01-15,2015-01-15,2015-06-23,2015-06-23,,
559898,562387,101,SOCIO,2015-06-23,2015-06-23,2016-02-03,,,
559898,559899,101,SOCIO,2015-06-23,2015-06-23,2015-07-23,2015-07-23,,
559898,559899,205,ADMINISTRADOR,2015-01-07,2015-01-07,2015-07-23,2015-07-23,,
559898,562387,205,ADMINISTRADOR,2015-06-23,2015-06-23,2016-02-03,2016-02-03,,
559898,484190,101,SOCIO,2015-12-25,2015-12-25,,,,
559898,484190,205,ADMINISTRADOR,2015-12-25,2015-12-25,,,,
557750,557751,801,EMPRESÁRIO,2015-02-16,,,,0,
557753,20851,401,TITULAR PESSOA FÍSICA,2015-02-16,,,,,ADMINISTRADOR
557753,20851,205,ADMINISTRADOR,2015-02-16,,,,,ADMINISTRADOR
557747,20264,101,SOCIO,2015-02-16,2015-02-16,,,,
557747,20264,205,ADMINISTRADOR,2015-02-16,,,,,
557747,153784,101,SOCIO,2015-02-16,,,,,
557747,153784,101,SOCIO,2015-02-16,2015-02-16,,,,
557747,20264,205,ADMINISTRADOR,2015-02-16,2015-02-16,,,,
557793,557794,101,SOCIO,2015-02-16,,,,,
557793,557794,205,ADMINISTRADOR,2015-02-16,,,,,
557793,113132,101,SOCIO,2015-02-16,,,,,
557793,615637,901,FILIAL NA MESMA UF DA SEDE,2016-04-01,,,,,ADMINISTRADOR
557797,540533,401,TITULAR PESSOA FÍSICA,2015-02-16,,,,,ADMINISTRADOR
557797,540533,205,ADMINISTRADOR,2015-02-16,,,,,ADMINISTRADOR
557767,557768,801,EMPRESÁRIO,2015-02-16,,,,0,
557769,557770,801,EMPRESÁRIO,2015-01-07,,,,0,
557771,557772,801,EMPRESÁRIO,2015-02-16,,,,0,
558500,558501,801,EMPRESÁRIO,2015-01-08,,,,,
558502,558503,801,EMPRESÁRIO,2015-01-08,,,,,
558504,558505,801,EMPRESÁRIO,2015-01-08,,,,,
558506,558507,801,EMPRESÁRIO,2015-01-08,,,,,
558508,558509,801,EMPRESÁRIO,2015-01-08,,,,,
558510,558511,801,EMPRESÁRIO,2015-01-08,,,,,
557785,557786,801,EMPRESÁRIO,2015-02-16,,,,0,
561838,411439,101,SOCIO,2015-01-30,2015-01-30,,,,
561838,411439,205,ADMINISTRADOR,2015-01-30,2015-01-07,,,,
561838,169887,101,SOCIO,2015-01-30,2015-01-30,,,,
561838,169887,205,ADMINISTRADOR,2015-01-30,2015-01-07,,,,
574832,574833,101,SOCIO,2015-01-07,2015-01-07,,,,
574832,574834,101,SOCIO,2015-01-07,2015-01-07,,,,
574832,73962,101,SOCIO,2015-01-07,2015-01-07,,,,
574832,73962,205,ADMINISTRADOR,2014-10-29,2014-10-29,,,,
579917,579918,801,EMPRESÁRIO,2015-06-23,,,,,
563211,563212,101,SOCIO,2015-02-10,,,,,
563211,96280,101,SOCIO,2015-02-10,2015-02-10,,,,
563211,96280,205,ADMINISTRADOR,2015-02-10,2014-12-15,,,,
565174,565175,101,SOCIO,2015-02-24,2015-02-24,,,,
565174,140751,101,SOCIO,2015-02-24,2015-02-24,,,,
565174,140751,205,ADMINISTRADOR,2015-02-24,2015-01-08,,,,
566844,566845,801,EMPRESÁRIO,2015-03-12,2015-03-12,,,50000,
469915,370273,101,SOCIO,2012-09-25,2012-09-25,,,3000000,
469915,370273,205,ADMINISTRADOR,2012-09-25,2012-09-25,,,3000000,
469915,470429,101,SOCIO,2012-09-25,2012-09-25,,,30000,
469915,559251,101,SOCIO,2015-01-09,,,,0,
558546,558547,801,EMPRESÁRIO,2015-01-08,,,,,
557929,557930,801,EMPRESÁRIO,2015-02-17,,,,0,
557923,557924,801,EMPRESÁRIO,2015-02-17,,,,0,
557939,557940,801,EMPRESÁRIO,2015-02-17,,,,0,
557944,414734,101,SOCIO,2015-02-17,2015-02-17,,,30000,
557944,414734,205,ADMINISTRADOR,2015-02-17,2015-02-17,,,15000,
557944,164461,101,SOCIO,2015-02-17,,2015-08-18,2015-08-18,15000,
558638,558639,801,EMPRESÁRIO,2015-01-08,,,,,
558530,558531,801,EMPRESÁRIO,2015-01-08,,,,,
558532,558533,801,EMPRESÁRIO,2015-01-08,,,,,
558534,558535,801,EMPRESÁRIO,2015-01-08,,,,,
558536,558537,801,EMPRESÁRIO,2015-01-08,,,,,
558538,558539,801,EMPRESÁRIO,2015-01-08,,,,,
558540,558541,801,EMPRESÁRIO,2015-01-08,,,,,
558542,558543,801,EMPRESÁRIO,2015-01-08,,,,,
558544,558545,801,EMPRESÁRIO,2015-01-08,,,,,
558602,558603,801,EMPRESÁRIO,2015-01-08,,,,,
558604,558605,801,EMPRESÁRIO,2015-01-08,,,,,
558606,558607,801,EMPRESÁRIO,2015-01-08,,,,,
558608,558609,801,EMPRESÁRIO,2015-01-08,,,,,
558610,558611,801,EMPRESÁRIO,2015-01-08,,,,,
558612,558613,801,EMPRESÁRIO,2015-01-08,,,,,
558614,558615,801,EMPRESÁRIO,2015-01-08,,,,,
558616,558617,801,EMPRESÁRIO,2015-01-08,,,,,
558618,558619,801,EMPRESÁRIO,2015-01-08,,,,,
558618,491180,801,EMPRESÁRIO,2015-06-06,2015-06-06,,,30000,
558620,558621,801,EMPRESÁRIO,2015-01-08,,,,,
558622,558623,801,EMPRESÁRIO,2015-01-08,,,,,
558624,558625,801,EMPRESÁRIO,2015-01-08,,,,,
558626,558627,801,EMPRESÁRIO,2015-01-08,,,,,
558628,558629,801,EMPRESÁRIO,2015-01-08,,,,,
558630,558631,801,EMPRESÁRIO,2015-01-08,,,,,
558632,558633,801,EMPRESÁRIO,2015-01-08,,,,,
558634,558635,801,EMPRESÁRIO,2015-01-08,,,,,
558636,558637,801,EMPRESÁRIO,2015-01-08,,,,,
558640,558641,801,EMPRESÁRIO,2015-01-08,,,,,
558642,558643,801,EMPRESÁRIO,2015-01-08,,,,,
558644,558645,801,EMPRESÁRIO,2015-01-08,,,,,
558646,558647,801,EMPRESÁRIO,2015-01-08,,,,,
561254,499517,801,EMPRESÁRIO,2015-01-27,,,,0,
561259,561260,101,SOCIO,2016-09-14,2016-09-14,,,5000,
561259,561260,205,ADMINISTRADOR,2016-09-14,2016-09-14,,,0,
561259,633562,101,SOCIO,2016-09-14,2016-09-14,,,95000,
561259,561260,801,EMPRESÁRIO,2016-10-17,2016-10-17,2016-10-17,2016-10-17,0,
